===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2020-04-16 15:54:08
count workspace : /Users/ahorvath/yet-another-chrome-extension
total files : 208
total code lines : 14333
total comment lines : 1743
total blank lines : 1233

.babelrc, code is 6, comment is 3, blank is 2.
build/f8ad0512df7f46dad214.hot-update.json, code is 1, comment is 0, blank is 0.
build/feceaac9862cb83baf27.hot-update.json, code is 1, comment is 0, blank is 0.
build/icon-128.png, it is a binary file.
build/icon-34.png, it is a binary file.
build/iframe-background.gif, it is a binary file.
build/logo.svg, code is 7, comment is 0, blank is 0.
build/manifest.json, code is 1, comment is 0, blank is 0.
build/newtab.bundle.js, code is 180, comment is 223, blank is 106.
build/newtab.html, code is 10, comment is 0, blank is 1.
build/options.bundle.js, code is 190, comment is 233, blank is 116.
build/options.html, code is 10, comment is 0, blank is 1.
build/popup.bundle.js, code is 204, comment is 247, blank is 130.
build/popup.html, code is 10, comment is 0, blank is 1.
build/sidebar.008933cc70f5acf9546b.hot-update.js, code is 4, comment is 2, blank is 3.
build/sidebar.02577bb1e3ac5493abd0.hot-update.js, code is 4, comment is 3, blank is 3.
build/sidebar.06fbf3e867a528556e5d.hot-update.js, code is 4, comment is 3, blank is 3.
build/sidebar.08b62572bec0e3a80cc7.hot-update.js, code is 4, comment is 2, blank is 3.
build/sidebar.0d3129828d16be8c6e06.hot-update.js, code is 4, comment is 2, blank is 3.
build/sidebar.0e872ba810ded4bbce54.hot-update.js, code is 4, comment is 3, blank is 3.
build/sidebar.0f2080f41fa5fe6efa9f.hot-update.js, code is 4, comment is 3, blank is 3.
build/sidebar.0f4795b845414c08cfaa.hot-update.js, code is 4, comment is 3, blank is 3.
build/sidebar.16e99dc927d12c0d94a3.hot-update.js, code is 4, comment is 3, blank is 3.
build/sidebar.18962086d8359c74506d.hot-update.js, code is 4, comment is 3, blank is 3.
build/sidebar.21f10ff3c9344de63704.hot-update.js, code is 4, comment is 3, blank is 3.
build/sidebar.24a158d11974ee006a0c.hot-update.js, code is 4, comment is 2, blank is 3.
build/sidebar.291197a7f7f6fff23a5b.hot-update.js, code is 4, comment is 3, blank is 3.
build/sidebar.2e17c43bdb37be5464c2.hot-update.js, code is 4, comment is 3, blank is 3.
build/sidebar.39d2ab8a3fdf4e076d0f.hot-update.js, code is 4, comment is 3, blank is 3.
build/sidebar.3b55cf56c07fc4018072.hot-update.js, code is 4, comment is 3, blank is 3.
build/sidebar.4143dd4ebdbed55a4ec7.hot-update.js, code is 26, comment is 28, blank is 25.
build/sidebar.44355c9f97925cb6d7ba.hot-update.js, code is 4, comment is 3, blank is 3.
build/sidebar.47233695396d17e24e93.hot-update.js, code is 4, comment is 2, blank is 3.
build/sidebar.4822ecfe7ae4e4a971b9.hot-update.js, code is 4, comment is 3, blank is 3.
build/sidebar.4c1ec7e8a828dd440a64.hot-update.js, code is 4, comment is 2, blank is 3.
build/sidebar.4fb6502e20620f600620.hot-update.js, code is 4, comment is 3, blank is 3.
build/sidebar.50a9c548ddc1adce5496.hot-update.js, code is 4, comment is 3, blank is 3.
build/sidebar.543351d708cf78f1d860.hot-update.js, code is 4, comment is 3, blank is 3.
